rank,category,racename,race_id,rider_name,rider_id,points,jpp
1,edit the backuo1.1,GP Cholet - Pays de Loire (prov.),41055,PITHIE Laurence,31638,0.0,0
2,1.1,GP Cholet - Pays de Loire (prov.),41055,PEREZ Anthony,17632,0.0,0
3,1.1,GP Cholet - Pays de Loire (prov.),41055,MANZIN Lorrenzo,21343,0.0,0
1,1.WT1,Milano - Sanremo,41053,VAN DER POEL Mathieu,21971,0.0,0
2,1.WT1,Milano - Sanremo,41053,GANNA Filippo,24057,0.0,0
3,1.WT1,Milano - Sanremo,41053,VAN AERT Wout,20730,0.0,0
4,1.WT1,Milano - Sanremo,41053,POGACAR Tadej,26526,0.0,0
5,1.WT1,Milano - Sanremo,41053,ANDERSEN Søren Kragh,20793,0.0,0
6,1.WT1,Milano - Sanremo,41053,PEDERSEN Mads,21992,0.0,0
7,1.WT1,Milano - Sanremo,41053,POWLESS Neilson,24902,0.0,0
8,1.WT1,Milano - Sanremo,41053,MOHORIC Matej,21145,0.0,0
9,1.WT1,Milano - Sanremo,41053,TURGIS Anthony,21312,0.0,0
10,1.WT1,Milano - Sanremo,41053,STUYVEN Jasper,18233,0.0,0
1,1.1,Classic Loire Atlantique,41052,ZINGLE Axel,31263,0.0,0
2,1.1,Classic Loire Atlantique,41052,PITHIE Laurence,31638,0.0,0
3,1.1,Classic Loire Atlantique,41052,ZIJLAARD Maikel,27649,0.0,0
1,NC5,National Championships Qatar (Al Thakira) R.R.,41294,ELBOURDAINY Ahmed Bassam,12959,0.0,0
1,1.PS,Bredene Koksijde Classic,41050,THIJSSEN Gerben,27085,0.0,0
2,1.PS,Bredene Koksijde Classic,41050,ACKERMANN Pascal,20917,0.0,0
3,1.PS,Bredene Koksijde Classic,41050,WELSFORD Samuel,23517,0.0,0
4,1.PS,Bredene Koksijde Classic,41050,TAMINIAUX Lionel,23416,0.0,0
5,1.PS,Bredene Koksijde Classic,41050,MARECZKO Jakub,22713,0.0,0
6,1.PS,Bredene Koksijde Classic,41050,SELIG Rüdiger,10954,0.0,0
7,1.PS,Bredene Koksijde Classic,41050,MOLANO BENAVIDES Juan Sebastian,23463,0.0,0
8,1.PS,Bredene Koksijde Classic,41050,FLYNN Sean,29931,0.0,0
9,1.PS,Bredene Koksijde Classic,41050,HALVORSEN Kristoffer,23425,0.0,0
10,1.PS,Bredene Koksijde Classic,41050,THEUNS Edward,16697,0.0,0
1,1.PS,GP de Denain - Porte du Hainaut,41048,MOLANO BENAVIDES Juan Sebastian,23463,0.0,0
2,1.PS,GP de Denain - Porte du Hainaut,41048,VAN DIJKE Tim,30642,0.0,0
3,1.PS,GP de Denain - Porte du Hainaut,41048,KIELICH Timo,28189,0.0,0
4,1.PS,GP de Denain - Porte du Hainaut,41048,BOASSON HAGEN Edvald,4377,0.0,0
5,1.PS,GP de Denain - Porte du Hainaut,41048,BJERG Mikkel,26388,0.0,0
6,1.PS,GP de Denain - Porte du Hainaut,41048,WATSON Samuel,32161,0.0,0
7,1.PS,GP de Denain - Porte du Hainaut,41048,MENTEN Milan,24180,0.0,0
8,1.PS,GP de Denain - Porte du Hainaut,41048,VAN DER HOORN Taco,19897,0.0,0
9,1.PS,GP de Denain - Porte du Hainaut,41048,GACHIGNARD Thomas,32640,0.0,0
10,1.PS,GP de Denain - Porte du Hainaut,41048,LAPEIRA Paul,30615,0.0,0
1,2.1,"Tour de Taiwan, General classification",41119,MEIJERS Jeroen,21376,0.0,0
2,2.1,"Tour de Taiwan, General classification",41119,LOPEZ CARAVACA Jordi,31278,0.0,0
3,2.1,"Tour de Taiwan, General classification",41119,PRADES REVERTER Benjami,8745,0.0,0
1,2.1s,"Tour de Taiwan, Stage 5 : Kaohsiung - Kaohsiung",41118,ZANONCELLO Enrico,28364,0.0,0
1,1.PS,Nokere Koerse,41047,MERLIER Tim,17988,0.0,0
2,1.PS,Nokere Koerse,41047,THEUNS Edward,16697,0.0,0
3,1.PS,Nokere Koerse,41047,MENTEN Milan,24180,0.0,0
4,1.PS,Nokere Koerse,41047,KIELICH Timo,28189,0.0,0
5,1.PS,Nokere Koerse,41047,ASKEY Lewis,30685,0.0,0
6,1.PS,Nokere Koerse,41047,VANMARCKE Sep,7728,0.0,0
7,1.PS,Nokere Koerse,41047,BLOUWE Louis,29120,0.0,0
8,1.PS,Nokere Koerse,41047,PITHIE Laurence,31638,0.0,0
9,1.PS,Nokere Koerse,41047,NOPPE Christophe,22615,0.0,0
10,1.PS,Nokere Koerse,41047,BAX Sjoerd,23306,0.0,0
1,1.PS,Milano - Torino,41046,DE KLEIJN Arvid,22596,0.0,0
2,1.PS,Milano - Torino,41046,GAVIRIA RENDON Fernando,20777,0.0,0
3,1.PS,Milano - Torino,41046,VAN UDEN Casper,30636,0.0,0
4,1.PS,Milano - Torino,41046,EINHORN Itamar,27315,0.0,0
5,1.PS,Milano - Torino,41046,MOSCHETTI Matteo,27126,0.0,0
6,1.PS,Milano - Torino,41046,BOUHANNI Nacer,16881,0.0,0
7,1.PS,Milano - Torino,41046,MEEUS Jordi,26421,0.0,0
8,1.PS,Milano - Torino,41046,VENDRAME Andrea,22170,0.0,0
9,1.PS,Milano - Torino,41046,ABERASTURI IZAGA Jon,15286,0.0,0
10,1.PS,Milano - Torino,41046,GROENEWEGEN Dylan,19238,0.0,0
1,2.1s,"Tour de Taiwan, Stage 4 : Nantou - Sun Moon Lake",41117,MEIJERS Jeroen,21376,0.0,0
1,2.1s,"Tour de Taiwan, Stage 3 : Guangming - Taichung",41116,DE DECKER Tijl,33297,0.0,0
1,2.1s,"Tour de Taiwan, Stage 2 : Taoyuan - Jiabonshan Park",41115,LOPEZ CARAVACA Jordi,31278,0.0,0
1,2.WT1,"Tirreno - Adriatico, General classification",41095,ROGLIC Primoz,20719,0.0,0
2,2.WT1,"Tirreno - Adriatico, General classification",41095,ALMEIDA Joao Pedro Gonçalves,26482,0.0,0
3,2.WT1,"Tirreno - Adriatico, General classification",41095,GEOGHEGAN HART Tao,22018,0.0,0
4,2.WT1,"Tirreno - Adriatico, General classification",41095,KÄMNA Lennard,23427,0.0,0
5,2.WT1,"Tirreno - Adriatico, General classification",41095,CICCONE Giulio,21812,0.0,0
6,2.WT1,"Tirreno - Adriatico, General classification",41095,MAS NICOLAU Enric,22794,0.0,0
7,2.WT1,"Tirreno - Adriatico, General classification",41095,LANDA MEANA Mikel,14319,0.0,0
8,2.WT1,"Tirreno - Adriatico, General classification",41095,CARTHY Hugh,21014,0.0,0
9,2.WT1,"Tirreno - Adriatico, General classification",41095,VLASOV Aleksandr,24316,0.0,0
10,2.WT1,"Tirreno - Adriatico, General classification",41095,PINOT Thibaut,13080,0.0,0
1,2.WT1,"Paris - Nice, General classification",41085,POGACAR Tadej,26526,0.0,0
2,2.WT1,"Paris - Nice, General classification",41085,GAUDU David,24255,0.0,0
3,2.WT1,"Paris - Nice, General classification",41085,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0
4,2.WT1,"Paris - Nice, General classification",41085,YATES Simon,17893,0.0,0
5,2.WT1,"Paris - Nice, General classification",41085,MÄDER Gino,26271,0.0,0
6,2.WT1,"Paris - Nice, General classification",41085,POWLESS Neilson,24902,0.0,0
7,2.WT1,"Paris - Nice, General classification",41085,BARDET Romain,13566,0.0,0
8,2.WT1,"Paris - Nice, General classification",41085,JORGENSON Matteo,28057,0.0,0
9,2.WT1,"Paris - Nice, General classification",41085,SIVAKOV Pavel,24934,0.0,0
10,2.WT1,"Paris - Nice, General classification",41085,HAIG Jack,21212,0.0,0
1,2.WT1s,"Tirreno - Adriatico, Stage 7 : San Benedetto del Tronto - San Benedetto del Tronto",41094,PHILIPSEN Jasper,26392,0.0,0
1,2.WT1s,"Paris - Nice, Stage 8 : Nice - Nice",41084,POGACAR Tadej,26526,0.0,0
1,2.WT1r,"Tirreno - Adriatico, Mountains classification",41097,ROGLIC Primoz,20719,0.0,0
1,2.WT1r,"Tirreno - Adriatico, Points classification",41096,ROGLIC Primoz,20719,0.0,0
1,2.WT1r,"Paris - Nice, Points classification",41086,POGACAR Tadej,26526,0.0,0
1,2.WT1r,"Paris - Nice, Mountains classification",41087,GREGAARD WILSLY Jonas,23437,0.0,0
1,1.1,Ronde van Drenthe,41044,HAGENES Per Strand,30442,0.0,0
2,1.1,Ronde van Drenthe,41044,LUND ANDRESEN Tobias,31657,0.0,0
3,1.1,Ronde van Drenthe,41044,DE VOS Adam,20291,0.0,0
1,2.1s,"Tour de Taiwan, Stage 1 : Taipei - Taipei (prov.)",41114,EEFTING-BLOEM Roy,19243,0.0,0
1,2.WT1s,"Paris - Nice, Stage 7 : Nice - Col de la Couillole",41083,POGACAR Tadej,26526,0.0,0
1,2.WT1s,"Tirreno - Adriatico, Stage 6 : Osimo Stazione - Osimo",41093,ROGLIC Primoz,20719,0.0,0
1,2.WT1s,"Paris - Nice, Stage 6 : Tourves - La Colle-sur-Loup",41082,no result,13543,0.0,0
1,2.WT1s,"Tirreno - Adriatico, Stage 5 : Morro d'Oro - Sarnano-Sassotetto (prov.)",41092,ROGLIC Primoz,20719,0.0,0
1,2.WT1s,"Paris - Nice, Stage 5 : Saint-Symphorien-sur-Coise - Saint-Paul-Trois-Châteaux (prov.)",41081,KOOIJ Olav,30643,0.0,0
1,2.WT1s,"Tirreno - Adriatico, Stage 4 : Greccio - Tortoreto (prov.)",41091,ROGLIC Primoz,20719,0.0,0
1,2.WT1s,"Paris - Nice, Stage 4 : Saint-Amand-Montrond - La Loge des Gardes (prov.)",41080,POGACAR Tadej,26526,0.0,0
1,2.WT1s,"Tirreno - Adriatico, Stage 3 : Follonica - Foligno (prov.)",41090,PHILIPSEN Jasper,26392,0.0,0
1,2.WT1s,"Tirreno - Adriatico, Stage 2 : Camaiore - Follonica (prov.)",41089,JAKOBSEN Fabio,23426,0.0,0
1,2.WT1s,"Tirreno - Adriatico, Stage 1 : Lido di Camaiore I.T.T. (prov.)",41088,GANNA Filippo,24057,0.0,0
1,2.WT1s,"Paris - Nice, Stage 2 : Bazainville - Fontainebleau (prov.)",41078,PEDERSEN Mads,21992,0.0,0
1,2.WT1s,"Paris - Nice, Stage 1 : La Verrière - La Verrière (prov.)",41077,MERLIER Tim,17988,0.0,0
1,1.1,GP Jean-Pierre Monseré,41042,THIJSSEN Gerben,27085,0.0,0
2,1.1,GP Jean-Pierre Monseré,41042,EWAN Caleb,19651,0.0,0
3,1.1,GP Jean-Pierre Monseré,41042,WELSFORD Samuel,23517,0.0,0
1,1.WT2,Strade Bianche,41039,PIDCOCK Thomas,27708,0.0,0
2,1.WT2,Strade Bianche,41039,MADOUAS Valentin,24758,0.0,0
3,1.WT2,Strade Bianche,41039,BENOOT Tiesj,21244,0.0,0
4,1.WT2,Strade Bianche,41039,COSTA Rui Alberto Faria,6807,0.0,0
5,1.WT2,Strade Bianche,41039,VALTER Attila,27198,0.0,0
6,1.WT2,Strade Bianche,41039,MOHORIC Matej,21145,0.0,0
7,1.WT2,Strade Bianche,41039,BILBAO LOPEZ DE ARMENTIA Pello,17881,0.0,0
8,1.WT2,Strade Bianche,41039,GREGOIRE Romain,32766,0.0,0
9,1.WT2,Strade Bianche,41039,FORMOLO Davide,18749,0.0,0
10,1.WT2,Strade Bianche,41039,KRON Andreas Lorentz,26420,0.0,0
1,1.1,GP Criquielion,41037,WELSFORD Samuel,23517,0.0,0
2,1.1,GP Criquielion,41037,MENTEN Milan,24180,0.0,0
3,1.1,GP Criquielion,41037,HALVORSEN Kristoffer,23425,0.0,0
1,NC5,National Championships United Arab Emirates (Kalba) R.R. (prov.),40932,ALMANSOORI Ahmed,19635,0.0,0
1,1.PS,Trofeo Laigueglia,41034,PETERS Nans,22703,0.0,0
2,1.PS,Trofeo Laigueglia,41034,VENDRAME Andrea,22170,0.0,0
3,1.PS,Trofeo Laigueglia,41034,COVI Alessandro,28298,0.0,0
4,1.PS,Trofeo Laigueglia,41034,ROTA Lorenzo,21958,0.0,0
5,1.PS,Trofeo Laigueglia,41034,CHAMPOUSSIN Clément,27153,0.0,0
6,1.PS,Trofeo Laigueglia,41034,GREGOIRE Romain,32766,0.0,0
7,1.PS,Trofeo Laigueglia,41034,CEPEDA ORTIZ Jefferson Alexander,26775,0.0,0
8,1.PS,Trofeo Laigueglia,41034,COSNEFROY Benoît,24189,0.0,0
9,1.PS,Trofeo Laigueglia,41034,ULISSI Diego,10023,0.0,0
10,1.PS,Trofeo Laigueglia,41034,ZIMMERMANN Georg,25165,0.0,0
1,1.1,Le Samyn,40947,MENTEN Milan,24180,0.0,0
2,1.1,Le Samyn,40947,HOFSTETTER Hugo,22702,0.0,0
3,1.1,Le Samyn,40947,THEUNS Edward,16697,0.0,0
1,2.WT3,"UAE Tour, General classification",41016,EVENEPOEL Remco,28377,0.0,0
2,2.WT3,"UAE Tour, General classification",41016,PLAPP Lucas,29787,0.0,0
3,2.WT3,"UAE Tour, General classification",41016,YATES Adam,18975,0.0,0
4,2.WT3,"UAE Tour, General classification",41016,BILBAO LOPEZ DE ARMENTIA Pello,17881,0.0,0
5,2.WT3,"UAE Tour, General classification",41016,KUSS Sepp,25653,0.0,0
6,2.WT3,"UAE Tour, General classification",41016,POELS Wout,7751,0.0,0
7,2.WT3,"UAE Tour, General classification",41016,TIBERI Antonio,30649,0.0,0
8,2.WT3,"UAE Tour, General classification",41016,ZWIEHOFF Ben,31491,0.0,0
9,2.WT3,"UAE Tour, General classification",41016,BUCHMANN Emanuel,18739,0.0,0
10,2.WT3,"UAE Tour, General classification",41016,VANHOUCKE Harm,25652,0.0,0
1,2.WT3s,"UAE Tour, Stage 7 : Al Ain - Jebel Hafeet",41015,YATES Adam,18975,0.0,0
1,2.WT3r,"UAE Tour, Points classification",41017,MERLIER Tim,17988,0.0,0
1,1.PS,Faun Drôme Classic,40945,PEREZ Anthony,17632,0.0,0
2,1.PS,Faun Drôme Classic,40945,COSTA Rui Alberto Faria,6807,0.0,0
3,1.PS,Faun Drôme Classic,40945,BAGIOLI Andrea,28452,0.0,0
4,1.PS,Faun Drôme Classic,40945,GAUDU David,24255,0.0,0
5,1.PS,Faun Drôme Classic,40945,SIMMONS Quinn,30666,0.0,0
6,1.PS,Faun Drôme Classic,40945,SKJELMOSE JENSEN Mattias,30166,0.0,0
7,1.PS,Faun Drôme Classic,40945,ZIMMERMANN Georg,25165,0.0,0
8,1.PS,Faun Drôme Classic,40945,CLARKE Simon,3366,0.0,0
9,1.PS,Faun Drôme Classic,40945,STRONG Corbin,29492,0.0,0
10,1.PS,Faun Drôme Classic,40945,GODON Dorian,25704,0.0,0
1,1.PS,Kuurne - Brussel - Kuurne,40943,BENOOT Tiesj,21244,0.0,0
2,1.PS,Kuurne - Brussel - Kuurne,40943,VAN HOOYDONCK Nathan,22015,0.0,0
3,1.PS,Kuurne - Brussel - Kuurne,40943,MOHORIC Matej,21145,0.0,0
4,1.PS,Kuurne - Brussel - Kuurne,40943,VAN DER HOORN Taco,19897,0.0,0
5,1.PS,Kuurne - Brussel - Kuurne,40943,WELLENS Tim,16722,0.0,0
6,1.PS,Kuurne - Brussel - Kuurne,40943,LAPORTE Christophe,19953,0.0,0
7,1.PS,Kuurne - Brussel - Kuurne,40943,DE LIE Arnaud,32221,0.0,0
8,1.PS,Kuurne - Brussel - Kuurne,40943,MEEUS Jordi,26421,0.0,0
9,1.PS,Kuurne - Brussel - Kuurne,40943,JAKOBSEN Fabio,23426,0.0,0
10,1.PS,Kuurne - Brussel - Kuurne,40943,STUYVEN Jasper,18233,0.0,0
1,2.1,"O Gran Camiño, General classification",41022,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0
2,2.1,"O Gran Camiño, General classification",41022,HERRADA LOPEZ Jesus,17534,0.0,0
3,2.1,"O Gran Camiño, General classification",41022,GUERREIRO Ruben Antonio Almeida,22683,0.0,0
1,2.1,"Tour du Rwanda, General classification",41008,MULUBRHAN Henok,28186,0.0,0
2,2.1,"Tour du Rwanda, General classification",41008,CALZONI Walter,32557,0.0,0
3,2.1,"Tour du Rwanda, General classification",41008,LECERF William Junior,32229,0.0,0
1,2.1s,"O Gran Camiño, Stage 4 : Novo Milladoiro - Santiago de Compostela I.T.T.",41021,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0
1,2.1s,"Tour du Rwanda, Stage 8 : Kigali - Kigali",41007,MULUBRHAN Henok,28186,0.0,0
1,1.WT2,Omloop Het Nieuwsblad,40942,VAN BAARLE Dylan,17794,0.0,0
2,1.WT2,Omloop Het Nieuwsblad,40942,DE LIE Arnaud,32221,0.0,0
3,1.WT2,Omloop Het Nieuwsblad,40942,LAPORTE Christophe,19953,0.0,0
4,1.WT2,Omloop Het Nieuwsblad,40942,KRISTOFF Alexander,4179,0.0,0
5,1.WT2,Omloop Het Nieuwsblad,40942,PIDCOCK Thomas,27708,0.0,0
6,1.WT2,Omloop Het Nieuwsblad,40942,BALLERINI Davide,22020,0.0,0
7,1.WT2,Omloop Het Nieuwsblad,40942,POLITT Nils,20847,0.0,0
8,1.WT2,Omloop Het Nieuwsblad,40942,PASQUALON Andrea,10220,0.0,0
9,1.WT2,Omloop Het Nieuwsblad,40942,OLIVEIRA Rui Filipe Alves,24030,0.0,0
10,1.WT2,Omloop Het Nieuwsblad,40942,VANMARCKE Sep,7728,0.0,0
1,2.WT3s,"UAE Tour, Stage 6 : Abu Dhabi - Abu Dhabi",41014,MERLIER Tim,17988,0.0,0
1,1.PS,Faun Ardèche Classic,40944,ALAPHILIPPE Julian,18610,0.0,0
2,1.PS,Faun Ardèche Classic,40944,GAUDU David,24255,0.0,0
3,1.PS,Faun Ardèche Classic,40944,SKJELMOSE JENSEN Mattias,30166,0.0,0
4,1.PS,Faun Ardèche Classic,40944,LAFAY Victor,26197,0.0,0
5,1.PS,Faun Ardèche Classic,40944,GREGOIRE Romain,32766,0.0,0
6,1.PS,Faun Ardèche Classic,40944,GALL Felix,26383,0.0,0
7,1.PS,Faun Ardèche Classic,40944,ROTA Lorenzo,21958,0.0,0
8,1.PS,Faun Ardèche Classic,40944,MARTIN Guillaume,19994,0.0,0
9,1.PS,Faun Ardèche Classic,40944,COSTA Rui Alberto Faria,6807,0.0,0
10,1.PS,Faun Ardèche Classic,40944,LATOUR Pierre,20156,0.0,0
1,2.1s,"Tour du Rwanda, Stage 7 : Nyamata - Mont Kigali",41006,TAROZZI Manuele,29884,0.0,0
1,2.1s,"O Gran Camiño, Stage 3 : Esgos -Rubia",41020,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0
1,NCT5,National Championships United Arab Emirates (Nazwa) I.T.T.,40931,ALKAABI Saif Mayouf,26445,0.0,0
1,2.WT3s,"UAE Tour, Stage 5 : Al Marjan Island - Umm Al Quwain",41013,GROENEWEGEN Dylan,19238,0.0,0
1,2.1s,"O Gran Camiño, Stage 2 : Tui - A Guarda",41019,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0
1,2.1s,"Tour du Rwanda, Stage 6 : Rubavu - Gicumbi",41005,BADILATTI Matteo,24246,0.0,0
1,2.WT3s,"UAE Tour, Stage 4 : Al Shindagha - Dubai Harbour",41012,MOLANO BENAVIDES Juan Sebastian,23463,0.0,0
1,2.1s,"O Gran Camiño, Stage 1 : Muralla de Lugo - Sarria",41018,no result,13543,0.0,0
1,2.1s,"Tour du Rwanda, Stage 5 : Rusizi - Rubavu (prov.)",41004,ORMISTON Callum,29773,0.0,0
1,2.WT3s,"UAE Tour, Stage 3 : Fujairah - Jebel Jais (prov.)",41011,RUBIO REYES Einer Augusto,27024,0.0,0
1,2.1s,"Tour du Rwanda, Stage 4 : Musanze - Karongi (prov.)",41003,BONNET Thomas,32240,0.0,0
1,2.1s,"Tour du Rwanda, Stage 3 : Huye - Musanze (prov.)",41002,MULUBRHAN Henok,28186,0.0,0
1,2.WT3s,"UAE Tour, Stage 1 : Al Dhafra Castle - Al Mirfa (prov.)",41009,MERLIER Tim,17988,0.0,0
1,2.1s,"Tour du Rwanda, Stage 2 : Kigali - Gisagara (prov.)",41001,VERNON Ethan,30035,0.0,0
1,2.PS,"Volta ao Algarve, General classification",40989,MARTINEZ POVEDA Daniel Felipe,23503,0.0,0
2,2.PS,"Volta ao Algarve, General classification",40989,GANNA Filippo,24057,0.0,0
3,2.PS,"Volta ao Algarve, General classification",40989,VAN WILDER Ilan,29828,0.0,0
4,2.PS,"Volta ao Algarve, General classification",40989,FOSS Tobias Svendsen,24873,0.0,0
5,2.PS,"Volta ao Algarve, General classification",40989,KÜNG Stefan,20960,0.0,0
6,2.PS,"Volta ao Algarve, General classification",40989,ALMEIDA Joao Pedro Gonçalves,26482,0.0,0
7,2.PS,"Volta ao Algarve, General classification",40989,PIDCOCK Thomas,27708,0.0,0
8,2.PS,"Volta ao Algarve, General classification",40989,MOLLEMA Bauke,5139,0.0,0
9,2.PS,"Volta ao Algarve, General classification",40989,CORT NIELSEN Magnus,19448,0.0,0
10,2.PS,"Volta ao Algarve, General classification",40989,COSTA Rui Alberto Faria,6807,0.0,0
1,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,POGACAR Tadej,26526,0.0,0
2,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,LANDA MEANA Mikel,14319,0.0,0
3,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,BUITRAGO SANCHEZ Santiago,29699,0.0,0
4,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,RODRIGUEZ CANO Carlos,30836,0.0,0
5,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,MAS NICOLAU Enric,22794,0.0,0
6,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,GEOGHEGAN HART Tao,22018,0.0,0
7,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,CARUSO Damiano,6177,0.0,0
8,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,ROTA Lorenzo,21958,0.0,0
9,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,KRON Andreas Lorentz,26420,0.0,0
10,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,SIVAKOV Pavel,24934,0.0,0
